City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Deputatskiy,RU,69.3,139.9,-33.81,100,99,1.79,overcast clouds
174,Przhevalskoye,RU,55.5093,31.8482,34.92,86,82,11.54,broken clouds
175,Tuktoyaktuk,CA,69.4541,-133.0374,-14.66,95,100,12.24,overcast clouds
176,Tateyama,JP,34.9833,139.8667,46.42,59,70,14.81,broken clouds
177,Linares,CL,-35.85,-71.6,77.31,24,100,7.27,overcast clouds
178,Aykhal,RU,66.0,111.5,-30.48,100,53,4.61,broken clouds
179,Shahr-E Babak,IR,30.1165,55.1186,46.45,57,0,5.35,clear sky
180,Esperance,AU,-33.8667,121.9,60.76,71,100,11.18,overcast clouds
181,Dhidhdhoo,MV,6.8833,73.1,82.09,78,17,6.33,few clouds
182,Ulaangom,MN,49.9811,92.0667,4.48,81,70,4.47,broken clouds
183,Rovaniemi,FI,66.5,25.7167,22.41,86,90,13.8,light shower snow
184,Cherskiy,RU,68.75,161.3,-8.01,91,100,8.39,light snow
185,Brae,GB,60.3964,-1.353,35.51,62,100,5.19,overcast clouds
186,Mareeba,AU,-17.0,145.4333,73.44,95,100,1.97,overcast clouds
187,Vardo,NO,70.3705,31.1107,28.38,74,75,19.57,broken clouds
188,Bluff,NZ,-46.6,168.3333,58.8,94,100,2.8,light rain
189,Baijiantan,CN,45.6333,85.1833,24.91,57,0,1.95,clear sky
190,Verkhnyaya Maksakovka,RU,61.635,50.9674,21.22,86,75,8.95,light shower snow
191,Mikkeli,FI,61.6886,27.2723,3.31,85,90,2.3,light snow
192,Atar,MR,20.5169,-13.0499,71.11,18,100,12.77,overcast clouds
193,Khandbari,NP,27.3747,87.2039,57.85,81,68,1.9,broken clouds
194,Nouadhibou,MR,20.931,-17.0347,68.81,60,100,15.86,overcast clouds
195,Jiuquan,CN,39.7432,98.5174,27.93,33,99,7.49,overcast clouds
196,San Antonio,US,29.4241,-98.4936,80.1,73,20,5.75,few clouds
197,Broome,US,42.2506,-75.833,53.62,73,90,1.99,overcast clouds
198,Yerbogachen,RU,61.2767,108.0108,-8.12,88,100,4.63,overcast clouds
199,Canavieiras,BR,-15.675,-38.9472,79.23,83,88,10.16,heavy intensity rain
200,Leamington,CA,42.0549,-82.6062,55.29,67,99,21.3,overcast clouds
201,Alyangula,AU,-13.8483,136.4192,84.33,75,100,4.36,overcast clouds
202,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.78,69,90,8.95,light shower snow
203,Pangnirtung,CA,66.1451,-65.7125,10.99,95,100,6.73,overcast clouds
204,Lebu,CL,-37.6167,-73.65,56.93,63,100,17.94,overcast clouds
